keyword,title,price,rating,reviews,platform,delivery,thumbnail
Smart Phone,Vivo Y31 5G Mobile Phone,27999.0,4.6,89,Croma,Free Delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQCWMPWTArLgMgPk7t4uz8h2WDLKB3cklSkYi54c0LfzC9E-xJTRw6naboMXjOMtqr48L5RNfH_uDZQNgdJxD1SLzmvgpJOGKXlHK28MDISnlhedNZeMjqNpw
Smart Phone,OnePlus N6 5G Smartphone,26999.0,4.7,144,Amazon,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSdyMzMI4UbYynXWGVHTbJ-Uqp2wuSBtG6C1DVHHn5JHXaXpI-Vpn2hMvzKmwjc1hCebSw96gr4rKNmCdPMLRw2VwqhAhhYjIVHZuutSQmq5P9CIexv5_bT
Smart Phone,Apple iPhone 17 Pro,134900.0,4.6,11000,Apple,Free Delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSs5Ln82tcK-xB1HdbuWillg3agWICaCWvS-yv10PAQ7COun6y2wLie1ClTfVwL0N2KZyie5_ySOhgFcBxD850jBp4RckudhKUl_ODJm5R9h1rNYca8YzV667aG
Smart Phone,Samsung Galaxy S25 Ultra 5G,129999.0,4.8,1,Samsung,Free Delivery by Sat,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSzD2AWv0dGo6sA3nuwBII6YMwtPTGh-lWKTZRA9XWuEHk9LyTOtFBj6qpaiGwdBNipUAk_xB0K4-PCxuShUiFC7JU79QJW
Smart Phone,Google Pixel 7a 5G Smartphone,28499.0,4.8,80,Amazon,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTKl_NObFT9Ei76P-lbi89DLRFEx5JsC_1dgbwS3PFx44hGM3-dOUf32kh0lisF_fVYbTnaK9x71VPndJYuAmIml7wsabvnB3bigiKhV7VkI7n6zIoWjgR4CQ
Smart Phone,Redmi 14c 5g,10894.0,4.7,324,Tata Neu,Free Delivery by Sat,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTSKmpyDA1H7QU_riXZpHP2ByQ9F5gmLukBzRCVuubhBoXVUazJDOR-5zffJdSbYQif-3L2QXIfmns7V8lLPx2EKf_sBgD6-JJwJf-DsVUbIu1-t-46D5vN4Q
Smart Phone,Motorola G06 Power 4GB 64GB Tapestry Mobile Phone,12990.0,4.4,264,Amazon,Free Delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSuF9AVWC2_1tGWp8k5L0TSr9Frm6dB9NER9wGlpl2pbNOFjaawxxqY95jJmMWgQyM2rGfSknVTUKQmE8-VC9FwSSE53Kaoo6teYTOEKaEv
Smart Phone,Google Pixel 10 5G,74999.0,5.0,3,Google Store,Free Delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQLxyXnnu00jVXfNgjFQNK0xkZqT1Wx9LqvXJPskzSEWyk2c8ieaoD7S5hMvb-UrVlFNhr5lj0fhMyMcNEEdTOns_-FJwbA
Smart Phone,Nothing Phone,31999.0,4.8,234,Cainid.In,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRxXus4Kp7oc7CrL07kQVIXETxwwbkk6oBb8C4Dgk5yxH46eKjq6KP1GV8oY-nIMVcJy-Ov90EUR-6CuyGxF9xOmbFLcIpSrOgdIPkthqAAfi824HhI5je5
Smart Phone,Tecno POP X 5G Fast Charger,15999.0,4.7,144,Amazon,Free Delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSiEALz7ITFtD1VlzNboZDS2q4toQ0buvR3OLogSYSemUF1VfwwYv7fT1VzhPCcjGEdFD7os4auCvBkVlOyMqrB8vFK153x_zCzBYqjirhGcnMUlnw4RasyjMc
Smart Phone,Samsung Galaxy A17 5G Smartphone,18999.0,4.4,11000,Samsung,Free Delivery by Sat,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQMQ5I02ufqptz2sk80IQ0Ye7KbGsmwSOJPQF8yxGYcYKNY1A0XbeoeGvXZhzBYwYrh3Z0rloiwHh7bzuUJlsHBfXCiLgaT
Smart Phone,Realme 16 Pro 5G,42999.0,4.9,767,Croma,Free Delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTPZiemUV6nTw4ujXwz0sSvGi6hOjgpO2xSy1ABfQQQ3PFDR5GuSN7s2hn6J1s9Q3jWftM6KfWMQOO184-bTYdThaNwD84aLewecoaQa9MgQ7jilTAQc9LM
Smart Phone,iQOO Z10 Lite 5G,16999.0,4.8,57,Amazon,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRi306__3i9D89MXNENvNFbA_ixQ4SpFMWs0gqYzakeYYeNe8JTlTEwGDT0hgFzdtd2-z9R0k4qji7jc5-tYxOUQYna0C-zprsXVZM1OI1SG5-QRTCswP81_A
Smart Phone,Redmi 15 5G,18699.0,4.7,144,Zepto,Free next-day Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQXTg6Zq-ey8RAsg0G104nRcSbBQ8mqVwf5KF1DPEP8zgWFxeazcD1hcx1SeXvmOzl0S93NxE-oaebpscgiroChBWB_-yo-XTBnclI8wxu2Jn0dkZVoOHEONA
Smart Phone,Apple iPhone 17 256GB Black,82900.0,4.8,53,Apple,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRJTBnagPOC2jVnvEpx5L2KkhGbFklu2DLNjqyvfs_m6VxGU-Z1uTS2GBF1x-_eJ4m5NG27fnhq5m4X0X6ZT13wiKaaE5pUy1HST_s7LkkkSkZsSS6TeLtDPzU
Smart Phone,LAVA Bold N2 Lite Android Mobile,8999.0,4.7,144,Amazon,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSNId8_KKle9wafLWY3Q2rLzAg8glQnr65fcoujGrWzEF6obHo_9e6Q7Z0Wl2sDgV6oNdgt1J8AlTrLl_KRyphFTARwcPFe2aV-Y9ZINZpQX-ZUeVFv7yBQ
Smart Phone,Redmi Note 15 SE 5G Smartphone,23999.0,4.7,144,Mi.com,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRe6J_Vwv6YlAAFTJK9tT5OCUHLpKYwnSoVNFC9D3rPRtt7ktAPWb15NnW7Gl7Q-_3MH5qmv3xTBe-82HBMWP0OPIt-tiX-Ns1dmTDN_Drssx2zpymkOf3HAw
Smart Phone,Nothing Phone Pro 5G,49999.0,4.8,128,Reliance,Free Delivery by Sat,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTb8FPcBIWsAHGtNglccWB7dUQkhMhUhHETWTw2HHlwKILNLsYpr3ZHxo8Lh7Sv1nokxqIcjcTz7lwLBzEdmt1CRlJ1Rf9ba3sZhVUpglcIb0nBbkmNk79srw
Smart Phone,Oppo Reno14 5G,39900.0,5.0,15,Amazon,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSuzyVJ2fvnmQALmb03T8_-2nWrgB-UZUzHyRBCABEqExSp0wh54MCUj-2IttqbI4IAp043dIm9BkfWI2Go_NX0E36wbx7Klj5o6ayAIUZqi8w2lCVEJXPIQQ
Smart Phone,Samsung Galaxy A06 5G,15499.0,4.8,7400,Samsung,Free Delivery by Sat,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRZkyFI-qGjoSXlqAJ_p4oUMMljmDrvs7mbfzYo0nXwB3aBynEGG_Tush95VyhpMRrPsSofrc3tdo__x1WQS4GbGoP7Z6UpoA
