keyword,title,price,raw_price,rating,reviews,platform,position,delivery,link,thumbnail
Ac,Voltas 1.5 Ton 3 Star 5 in 1 Adjustable Inverter Split AC,34943.0,"₹34,943",,,Flipkart,33,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS9N6ACuh4mGXR-R1UyyUsmvKukslri8EMcCTD5BKqXdGT5U9myzXloUvWQ6fHvuVkugQckj6kd-lbeS2Oz1zkfPT3hV1cr0GUagKl2eYPAJ3a9rp-C9WFUGA
Ac,Hisense IntelliCool 1 Ton 3 Star Inverter Split AC,26990.0,"₹26,990",,,Reliance Digital,34,Free delivery by Sat,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQu-_VwNPXbpphRfZ_q2QWnrLciLKVT-aQIfKFTUd1Tf-kMc1e6rbdbLYpeyXIp-wsFTnODXMI-iy2Z5Mh15L2-tq9vid9mGN18j7PtqlI9Hrv2aK2Q8CHB
Ac,Cruise 2 Ton 3 Star Inverter Split AC,39990.0,"₹39,990",,,Amazon.in,35,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTB4cOAkspMDbT6Gf2YKESj6WLXV3XF_LhdZHF__rbN6aXKyN6Q6F6wZHHtpTX9yuv-8AMnfW7u-rHhRs_EuIYh0EjE1MsA2CyZxtb4xTqLj_Wd0E6LBZqoyA
Ac,Voltas 1.5 Ton 3 Star Split AC,24600.0,"₹24,600",,,Tradeindia.com,36,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ27mOreb2iRhF-x-taAHsHcnowNmSUkAN46TyWmdWLhg_TgzIW-ukhC2jj8R_Ea7qTm6KKOKzaJUdt3uPTYzTTUU_IcQM4iw
Ac,Godrej 1.5 Ton 3 Star 5 Years Comprehensive Warranty AI powered,24768.0,"₹24,768",,,addmecart,37,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT3RvhUDFJPAh_Qyguh4DgYAP1NrkDvlBQwMjJX8BnjTVDQ4SomtTEUNWZwWl_e71-BO0N8qBbB1jGZP2aW1VDG96vVJoJc
Ac,Godrej 2026 Model 1 Ton 3 Star Split Inverter AC,31085.0,"₹31,085",,,Flipkart,38,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRJ4nxc5pC-NQhD3JRzyKDRb-RDfA1xhz_RwnglqKH1ZFrhb7I_oLg-2CZXQVJynVBRNaXISUXXMUVBxlxsZQiNGvwqRYaYUw3gHJRddrA3igt1wtDmmN_dIA
Ac,O General Advance Hyper Tropical 2 Ton 3 Star Inverter Split AC 2026,62990.0,"₹62,990",,,Amazon.in,39,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTkiJ-mzgz4OXYN9BSFBGvQUQAsVIvP75Bwfqi3tKuJXvd-lxUEcdr33VK4_LaDV_8yhREiOxWLYENIsric_PbCMHAN01Ar1UFnxK94drKEbLaMdXuXNCMVPw
Ac,"Panasonic 1.5 Ton 5 Star Premium Wi-Fi Inverter Smart Split AC (Matter-MirAIe, AI, nanoe+AQI, DustBuster, Copper Condenser, 8in1 Convertible, 4-Way,",54990.0,"₹54,990",,,Reliance Digital,40,Free delivery by Sat,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRW8zI4SlFcUYL0GAVv3VyzE78t3Qo-2J6xLEr6AY_8Z-BSMkjCkRTP57PNXkBoX11v5qeYnRd2CVDU08qHtPqFrN6QhDJp89_30r-d5L5n-ZSagLnyIt6vEA
Ac,LG 5 Star Dual Inverter Split Smart AC 2026,54555.0,"₹54,555",5.0,2.0,LG Electronics India,1,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSu8vLzFjD-0hXD4Q_gna9mWQUuxvko5a6slCqnwyFEsROXwZnVaYOwAtgPmW2uBo5Hj5vPrVosDh6G7kXw0tFmTh88lmG6
Ac,TCL 1 Ton 3 Star 5 in 1 Convertible Invertor Split AC,24990.0,"₹24,990",,,Reliance Digital,2,Free delivery by Sat,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRpNSH5jYcQuRF8M3YjYJ34k8MTmFDSUo0nqwzb6ZAvjEJUM8axQonceJfd-6BS2tivDV_wjUfgYui0L09yhJkYG2GGscwwYG-5N7iOiC9b46RRSRZ1sPdg
